i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,COMP,COMMIT,COLLAB,STANDARD
3,3,3,3,3,3,3,3,3,3,2,4,3,3,12.00,9.00,11.00,10.00
4,3,4,3,4,3,3,3,4,4,4,4,3,3,14.00,10.00,15.00,10.00
4,3,3,4,3,3,4,3,2,4,3,4,4,3,14.00,10.00,12.00,11.00
3,3,3,3,3,3,2,3,3,3,3,4,3,3,12.00,8.00,12.00,10.00
3,2,2,3,2,2,3,4,2,2,3,4,4,4,10.00,7.00,11.00,12.00
4,4,4,4,3,3,3,3,3,3,3,3,3,2,16.00,9.00,12.00,8.00
3,3,3,3,2,2,3,3,3,3,4,4,4,4,12.00,7.00,13.00,12.00
3,3,3,3,4,3,3,3,3,4,3,3,3,3,12.00,10.00,13.00,9.00
3,3,3,4,3,3,3,4,4,4,3,3,3,3,13.00,9.00,15.00,9.00
3,4,3,3,4,3,4,2,3,3,3,4,3,4,13.00,11.00,11.00,11.00
3,3,3,3,3,3,3,3,2,3,3,3,3,3,12.00,9.00,11.00,9.00
3,4,3,3,2,2,2,3,3,3,2,4,3,4,13.00,6.00,11.00,11.00
4,4,3,4,3,3,4,3,3,3,3,3,4,4,15.00,10.00,12.00,11.00
4,3,3,4,3,3,3,3,3,3,3,4,3,3,14.00,9.00,12.00,10.00
4,4,3,3,3,3,3,3,3,3,3,4,3,3,14.00,9.00,12.00,10.00
3,3,3,3,3,3,3,3,3,3,3,4,3,3,12.00,9.00,12.00,10.00
3,3,3,4,3,3,3,4,4,3,4,4,4,3,13.00,9.00,15.00,11.00
2,2,3,3,3,3,2,2,2,2,3,4,4,4,10.00,8.00,9.00,12.00
4,3,3,4,4,3,3,4,4,4,4,4,3,4,14.00,10.00,16.00,11.00
4,4,4,4,3,3,3,4,4,4,3,4,3,3,16.00,9.00,15.00,10.00
3,4,3,3,3,4,4,3,3,3,4,4,4,4,13.00,11.00,13.00,12.00
3,3,3,3,3,2,3,3,3,3,3,3,3,3,12.00,8.00,12.00,9.00
3,4,3,2,4,4,4,3,3,3,4,3,3,3,12.00,12.00,13.00,9.00
4,4,3,4,3,4,3,3,4,4,4,3,3,4,15.00,10.00,15.00,10.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,3,4,4,3,3,4,4,4,3,3,4,3,4,15.00,10.00,14.00,11.00
3,3,3,4,3,3,3,4,3,3,3,4,3,3,13.00,9.00,13.00,10.00
4,3,3,3,2,2,3,4,3,3,2,4,3,3,13.00,7.00,12.00,10.00
4,4,3,3,3,2,3,3,3,3,3,3,3,3,14.00,8.00,12.00,9.00
3,3,3,3,2,2,3,2,3,3,2,3,3,3,12.00,7.00,10.00,9.00
3,3,3,3,4,2,3,3,3,3,2,3,2,2,12.00,9.00,11.00,7.00
3,3,3,3,2,3,2,3,3,3,3,4,3,3,12.00,7.00,12.00,10.00
4,4,3,4,4,4,3,4,4,3,3,4,4,3,15.00,11.00,14.00,11.00
4,3,4,3,3,3,3,3,4,4,3,4,4,4,14.00,9.00,14.00,12.00
4,3,3,3,3,3,3,3,2,3,2,3,3,3,13.00,9.00,10.00,9.00
4,4,3,3,3,3,3,4,4,3,3,3,3,4,14.00,9.00,14.00,10.00
4,4,4,3,4,4,4,4,4,4,3,4,3,4,15.00,12.00,15.00,11.00
4,4,3,3,3,3,3,3,2,3,3,3,3,3,14.00,9.00,11.00,9.00
3,4,4,2,3,3,3,4,4,3,3,4,4,4,13.00,9.00,14.00,12.00
4,3,4,3,4,3,4,3,4,3,4,3,4,3,14.00,11.00,14.00,10.00
4,3,3,3,3,3,3,2,2,2,3,3,3,3,13.00,9.00,9.00,9.00
3,3,3,3,3,3,3,3,3,3,3,3,3,3,12.00,9.00,12.00,9.00
4,4,2,3,2,2,3,3,3,3,3,4,3,4,13.00,7.00,12.00,11.00
4,3,1,3,2,2,3,1,3,3,2,3,2,3,11.00,7.00,9.00,8.00
4,3,3,4,4,3,4,2,3,4,3,4,3,4,14.00,11.00,12.00,11.00
3,3,4,3,3,2,3,4,3,4,4,3,4,4,13.00,8.00,15.00,11.00
3,4,3,3,3,3,3,2,2,3,3,4,3,3,12.80,9.00,10.00,10.00
3,4,3,4,4,4,3,3,3,3,3,4,4,4,13.80,11.00,12.00,12.00
3,3,3,3,3,3,3,4,4,4,4,3,4,4,12.00,9.00,16.00,11.00
